date,maxTemp,minTemp,avgTemp,tempDept,relHum,dewPoint,wetBulbTemp,heatDays,coolDays,sunrise,sunset,weatherType,precip,snow,snowDepth,stnPressure,seaPressure,windSpeed,windPeakSpeed,windPeakDir,windSusSpeed,windSusDir
18-Jan,15,7,11,-12.1,73,4,10,54,0,805,1733,"SN,BR,UP",0.01,0.2,T,29.13,30.15,13.1,31,290,25,290
19-Jan,21,5,13,-10.1,71,6,12,52,0,804,1735,"SN,HZ",T,T,T,29.4,30.42,7.6,19,270,14,270
20-Jan,22,12,17,-6.1,76,9,14,48,0,804,1736,"SN,BR,HZ",T,T,T,29.32,30.3,4.4,11,240,8,280
21-Jan,26,12,19,-4.1,81,17,20,46,0,803,1737,"SN,BR,HZ",0.01,0.1,T,29.35,30.35,5.5,17,260,13,250
22-Jan,29,18,24,0.9,76,17,22,41,0,802,1738,"BR,HZ",T,T,T,29.31,30.29,6.2,17,40,15,50
23-Jan,26,17,22,-1.1,78,16,21,43,0,801,1740,"SN,BR",T,0.1,T,29.21,30.18,6.3,20,30,15,40
24-Jan,32,15,24,0.9,74,19,24,41,0,801,1741,HZ,0,0,T,29.05,30.02,8.3,26,220,21,220
25-Jan,40,26,33,9.8,75,26,31,32,0,800,1742,"RA,BR,UP,HZ",0.02,0,T,28.96,29.89,10.8,24,180,18,190
26-Jan,43,29,36,12.8,82,30,33,29,0,759,1743,"RA,SN,BR,UP,HZ",0.1,1.4,0,28.87,29.86,18.2,36,250,30,240
27-Jan,29,24,26,2.7,76,21,25,39,0,758,1745,"SN,BR",0.01,0.2,2,29.15,30.1,13.3,30,190,24,180
28-Jan,34,26,30,6.7,77,24,28,35,0,757,1746,"SN,BR,UP,HZ",0.04,0.1,1,28.71,29.65,14.1,32,200,23,220
29-Jan,29,20,24,0.6,62,13,21,41,0,756,1747,SN,T,T,1,28.92,29.9,10.7,31,310,22,310
30-Jan,47,29,38,14.5,69,28,34,27,0,755,1749,,0,0,1,28.76,29.7,10.8,28,200,22,200
31-Jan,49,38,44,20.5,87,40,42,21,0,754,1750,"RA,BR",0.12,0,0,28.67,29.61,10,26,280,21,260
1-Feb,44,25,34,10.4,75,30,,31,0,753,1751,"BR,UP,HZ",T,0,0,29,,6.2,24,270,17,290
2-Feb,39,23,31,7.3,80,26,,34,0,752,1753,"RA,PL,FZFG,BR,UP,FG",0.43,T,0,29.11,,8.5,34,90,25,100
3-Feb,44,31,38,14.2,85,34,,27,0,751,1754,"RA,SN,FG,BR",0.07,0.1,0,28.65,,13.5,39,210,32,220
4-Feb,32,20,26,2.1,80,24,,39,0,750,1755,"FZRA,SN,BR,UP",0.12,2.2,1,29.15,,7.9,20,260,17,270
5-Feb,35,18,26,1.9,72,22,,39,0,749,1757,"SN,BR",0.01,0.2,2,29.34,,7.3,16,280,13,270
6-Feb,37,20,28,3.8,66,20,,37,0,748,1758,"BR,HZ",0,0,1,29.28,,9.4,25,240,21,210
7-Feb,47,32,40,15.7,63,28,,25,0,746,1759,,0,0,0,28.94,,11.4,30,210,23,200
8-Feb,40,29,34,9.5,76,28,,31,0,745,1801,SN,T,T,0,28.69,,6.8,17,290,14,300
9-Feb,33,22,28,3.4,80,24,,37,0,744,1802,"SN,BR",0.07,0.8,1,28.69,,12.9,27,300,20,290
10-Feb,22,11,16,-8.8,65,9,,49,0,743,1803,"SN,HZ",0.01,0.2,1,28.9,,13.8,28,290,24,300
11-Feb,23,10,16,-9,62,5,,49,0,741,1805,,0,T,1,29.21,,8.9,24,300,18,310
12-Feb,22,6,14,-11.1,70,9,,51,0,740,1806,"SN,UP",0.02,0.4,1,29.13,,14.5,33,310,25,310
13-Feb,15,2,8,-17.3,65,-2,,57,0,739,1807,,T,T,2,29.44,,9.5,29,300,22,300
14-Feb,18,0,9,-16.5,70,1,,56,0,737,1809,SN,T,T,2,29.41,,8.1,24,130,18,140
15-Feb,26,15,20,-5.7,83,16,,45,0,736,1810,"SN,BR",0.02,0.2,2,29.02,,6.9,19,130,15,130
16-Feb,29,25,27,1.1,84,23,,38,0,734,1811,"SN,BR,HZ",0.06,1.2,2,28.87,,3.8,13,290,12,290
17-Feb,30,11,20,-6.2,69,18,,45,0,733,1812,"SN,BR",T,T,3,29.16,,5.9,19,300,16,320
18-Feb,34,4,19,-7.4,68,13,,46,0,732,1814,,0,0,2,29.44,,10.7,30,140,22,160
19-Feb,60,33,46,19.4,60,33,,19,0,730,1815,,T,T,1,28.82,,24.6,61,230,47,240
20-Feb,54,38,46,19.1,54,31,,19,0,729,1816,,0,0,0,28.84,,15.8,40,260,31,250
21-Feb,41,32,36,8.9,75,30,,29,0,727,1818,,0,0,0,29.1,,6.3,19,40,15,30
22-Feb,40,29,34,6.6,70,23,,31,0,726,1819,,0,0,0,29.23,,8,21,130,17,130
23-Feb,45,22,34,6.3,60,20,,31,0,724,1820,,0,0,0,29.2,,6.5,15,110,13,100
24-Feb,32,28,30,2.1,85,27,,35,0,723,1821,"SN,FG,FZFG,BR",0.65,7,0,28.73,,18.9,35,10,29,10
25-Feb,34,24,29,0.8,81,24,,36,0,721,1823,"SN,BR,UP",0.12,3.4,10,28.74,,16.5,33,310,25,310
26-Feb,32,18,25,-3.5,64,16,,40,0,719,1824,,0,T,8,29.19,,8.8,21,270,17,270
27-Feb,44,25,34,5.2,63,24,,31,0,718,1825,,0,0,8,28.98,,15.4,31,240,26,230
28-Feb,56,36,46,16.9,74,38,,19,0,716,1826,"RA,BR",0.13,0,6,28.66,,16.8,35,230,26,220
Feb-29,44,24,34,4.7,66,23,,31,0,715,1828,"SN,BR,UP",T,T,T,28.85,,16.2,46,270,36,260
